date_taken	date_analyzed	idx	resize_factor	x	y	scale	length1	area1	mean1	sd1	bgr1	bgr_sd1
2018-05-29 12:08:00	2018-12-08 10:02:06	1	1	2551	1741	13.7	77	2461	76	37	(46, 79, 83)	(38, 40, 33)
2018-05-29 12:08:00	2018-12-08 10:02:06	2	1	1916	1633	13.7	113	4213	82	35	(44, 83, 95)	(33, 37, 32)
2018-05-29 12:08:00	2018-12-08 10:02:06	3	1	1821	1594	13.7	69	1370	94	54	(65, 95, 103)	(54, 58, 47)
2018-05-29 12:08:00	2018-12-08 10:02:06	4	1	2157	1392	13.7	110	3900	76	37	(40, 77, 87)	(33, 39, 35)
2018-05-29 12:08:00	2018-12-08 10:02:06	5	1	1768	1221	13.7	104	1880	110	30	(42, 110, 136)	(21, 33, 28)
2018-05-29 12:08:00	2018-12-08 10:02:06	6	1	1876	1147	13.7	58	835	111	18	(27, 111, 143)	(15, 20, 16)
2018-05-29 12:08:00	2018-12-08 10:02:06	7	1	511	920	13.7	107	2526	110	28	(44, 111, 133)	(27, 32, 24)
2018-05-29 12:08:00	2018-12-08 10:02:06	8	1	621	888	13.7	111	3479	93	34	(46, 94, 109)	(30, 37, 30)
2018-05-29 12:08:00	2018-12-08 10:02:06	9	1	2410	755	13.7	104	3518	84	34	(41, 85, 97)	(32, 37, 31)
2018-05-29 12:08:00	2018-12-08 10:02:06	10	1	932	731	13.7	94	2719	100	26	(51, 103, 114)	(25, 29, 23)
2018-05-29 12:08:00	2018-12-08 10:02:06	11	1	1813	661	13.7	92	2434	102	29	(61, 106, 111)	(27, 31, 25)
2018-05-29 12:08:00	2018-12-08 10:02:06	12	1	924	611	13.7	90	2367	98	33	(52, 100, 113)	(32, 37, 28)
2018-05-29 12:08:00	2018-12-08 10:02:06	13	1	2545	486	13.7	103	3742	76	39	(43, 78, 83)	(38, 42, 35)
2018-05-29 12:08:00	2018-12-08 10:02:06	14	1	751	473	13.7	102	1991	102	34	(33, 102, 128)	(24, 39, 31)
2018-05-29 12:08:00	2018-12-08 10:02:06	15	1	1000	468	13.7	165	7415	94	31	(49, 96, 108)	(27, 34, 28)
2018-05-29 12:08:00	2018-12-08 10:02:06	16	1	2410	448	13.7	103	3220	81	34	(48, 84, 88)	(34, 37, 30)
2018-05-29 12:08:00	2018-12-08 10:02:06	17	1	2222	385	13.7	93	1934	116	28	(39, 120, 139)	(23, 32, 26)
2018-05-29 12:08:00	2018-12-08 10:02:06	18	1	1048	337	13.7	97	2766	89	29	(41, 90, 105)	(26, 32, 27)
